texto,classe
"Não entendi nada dessa parte de recursão, muito difícil",frustrado
"Travei completamente no exercício, não sei o que fazer",frustrado
"Tá impossível, já tentei várias vezes e nada",frustrado
"Que matéria horrível, não consigo aprender isso",frustrado
"Não faz sentido nenhum esse conceito",frustrado
"Desisto, é muito complicado",frustrado
"Não consegui resolver de jeito nenhum",frustrado
"Estou perdido, essa parte é confusa demais",frustrado
"Odeio essa matéria, nada entra na minha cabeça",frustrado
"Achei muito difícil, fiquei horas tentando",frustrado
"Que raiva, errei tudo de novo",frustrado
"Não tô conseguindo acompanhar o conteúdo",frustrado
"Esse exercício é cruel, impossível resolver",frustrado
"Fiquei totalmente perdido na hora de implementar",frustrado
"Tô frustrado, não consigo entender o enunciado",frustrado
"Muito chato esse tipo de problema, não rola",frustrado
"Nem sei por onde começar, tudo confuso",frustrado
"Esse conteúdo tá muito acima do meu nível",frustrado
"Tentei demais e ainda assim errei",frustrado
"Não tô gostando nada dessa parte, complicado demais",frustrado
"Que dor de cabeça, não consigo focar",frustrado
"Travei na lógica e não saí do lugar",frustrado
"Achei muito denso, não absorvi nada",frustrado
"Esse exercício me deixou desanimado",frustrado
"Não tô conseguindo evoluir, tá puxado",frustrado
"Caraca, errei a questão inteira",frustrado
"Não entendi a explicação, tá confuso",frustrado
"Muito difícil, preciso de ajuda urgente",frustrado
"Tô apanhando nessa matéria, socorro",frustrado
"Não consigo nem ler o código direito",frustrado
"Errei feio, não sei o que tô fazendo",frustrado
"Que horror essa parte de ponteiros",frustrado
"Tô travado faz uma hora no mesmo erro",frustrado
"Impossível decorar tanta sintaxe",frustrado
"Não entra na minha cabeça, sério",frustrado
"Já li três vezes e continuo sem entender",frustrado
"Esse exercício é pesado demais pra mim agora",frustrado
"Tô perdido completamente, não sei nem o que perguntar",frustrado
"Que matéria pesada, não tô dando conta",frustrado
"Falhei miseravelmente nessa questão",frustrado
"Não consegui implementar nem a metade",frustrado
"Tô com a cabeça fervendo, nada faz sentido",frustrado
"Errei várias vezes seguidas, desanimei",frustrado
"Essa parte é traiçoeira demais",frustrado
"Não consigo conectar os conceitos",frustrado
"Difícil pra caramba, tô sofrendo aqui",frustrado
"Não entendo essa lógica de jeito nenhum",frustrado
"Que exercício chato e mal explicado",frustrado
"Tô bloqueado, não sai nada da minha cabeça",frustrado
"Essa matéria é um bicho de sete cabeças",frustrado
"Não tô captando a ideia do algoritmo",frustrado
"Muito ruim, fiquei estagnado",frustrado
"Não consigo nem escrever uma linha que funcione",frustrado
"Esse erro de compilação me matou",frustrado
"Tô péssimo nessa parte, não vou na prova assim",frustrado
"Não absorvi o conteúdo, foi superficial demais",frustrado
"Muito complicado, precisava de mais exemplos",frustrado
"Errei e nem entendi por que errei",frustrado
"Tô desistindo, melhor estudar outra coisa",frustrado
"Não tô conseguindo raciocinar direito",frustrado
"Que exercício injusto, cobrou coisa que não vimos",frustrado
"Não saiu nada, fiquei olhando pra tela",frustrado
"Tô muito ruim em programação",frustrado
"Não entendi a sintaxe desse comando",frustrado
"Esse exercício é uma armadilha",frustrado
"Tentei e tentei, não rolou mesmo",frustrado
"Tô triste, achei que ia conseguir",frustrado
"Que matéria sofrida, nada flui",frustrado
"Não tô vendo lógica nenhuma nisso",frustrado
"Errei na sintaxe e demorei pra achar o erro",frustrado
"Travado total, não saio do mesmo ponto",frustrado
